"The Tucson Event ASC Official results. (Updated May 07, 2003)",,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
1,SM2,Paul Hamersly,89 Chevrolet/Corvette,52.723, ,50.891, ,51.401, ,49.284, ,49.284,22,41.941,30,888,
2,SM2,Harry Berzes,94 Mazda/Miata,54.356, ,DNF, ,53.382, ,51.603, ,51.603,37,43.914,49,848,
3,SM2,Jason Boles,99 BMW/Z Coupe,61.097,(4),54.000,(6),52.494,(4),58.773,(2),52.494,40,44.672,52,834,
,,,,,,,,,,,,,,,,,
PXL CLASS,,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
1,CS,Dawn Maxwell,99 Mazda/Miata,55.378,(4),51.663, ,50.465, ,50.792, ,50.465,32,41.079,25,907,
2,FSP,Audrey Harnish,95 Honda/Civic,53.791, ,51.054, ,50.619, ,DNF, ,50.619,33,41.254,28,903,
3,ASP,Mindi Cross,65 Lotus/Elan,51.872, ,66.751,(4),50.040, ,86.540,(22),50.040,26,42.334,35,880,
4,CM,Sheryl Zavion,82 Formula Ford/Van Diemen,53.241, ,51.852, ,49.214, ,54.682,(6),49.214,19,45.228,55,824,
,,,,,,,,,,,,,,,,,
STL CLASS,,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
1,ES,Glenda Meyers,92 Mazda/Miata,61.255, ,59.846, ,58.844, ,57.399, ,57.399,59,46.149,58,807,
,,,,,,,,,,,,,,,,,
STA CLASS,,,,,,,,,,,,,,,,,
RANK ,CATEGORY ,NAME ,CAR ,RUN 1 ,  ,RUN 2 ,  ,RUN 3 ,  ,RUN 4 ,  ,BEST TIME ,TIME RANK ,PAX TIME ,PAX RANK ,CLS PTS,
1,BS,Lou Young,01 Honda/S2000,51.103, ,50.141, ,49.705, ,49.256, ,49.256,20,40.636,20,917,
2,GS,Michael Whitehouse,93 Mazda/MX-6,53.460, ,52.559, ,52.957, ,52.855, ,52.559,42,41.101,26,906,
3,GS,Chad Mizner,95 Honda/del Sol VTEC,53.103, ,59.193, ,53.193, ,52.573, ,52.573,43,41.112,27,906,
4,HS,David Webb,01 Ford/Focus,55.214, ,54.608, ,54.984, ,53.950, ,53.950,53,41.973,31,887,
5,ES,Scott Meyers,92 Mazda/Miata,54.390, ,52.804, ,52.939, ,77.760,(20),52.804,47,42.454,37,877,
6,DSP,Joel Priddy,02 Nissan/Sentra SER Spec V,54.364, ,55.420,(2),59.689, ,52.389, ,52.389,39,42.854,39,869,
7,FS,Roy Coombes,93 FORD/MUSTANG COBRA,53.799, ,77.308,(20),53.716, ,53.314, ,53.314,50,42.971,42,867,
8,BS,Paul Lialios,03 Nissan/350z,53.157, ,52.604, ,54.154,(2),54.032, ,52.604,44,43.398,47,858,
9,DS,Jim Barks,02 Lexus/IS300,57.257, ,55.792, ,55.508, ,54.727, ,54.727,55,43.508,48,856,
10,SS,Steven Dalbec,03 Chevrolet/Corvette,63.199,(2),57.025, ,58.004,(2),55.141, ,55.141,57,46.153,59,807,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
