The Fall/Winter series for 2002 is a best 4 out of 5 event series.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,,,
RANK,CLS,NAME,AUG,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,,,,
4,ESP,STEVE FELDE, , ,821, ,762,1583,,,,,,,,,,,
5,ESP,RICHARD RIPPY, ,980, , , ,980,,,,,,,,,,,
6,ESP,BILL SCHROEDER,914, , , , ,914,,,,,,,,,,,
7,ESP,DAVE MUNSEY, ,894, , , ,894,,,,,,,,,,,
8,ESP,DAVID MINGUS, , , ,892, ,892,,,,,,,,,,,
9,ESP,DENNIS ZYGEL, , , ,829, ,829,,,,,,,,,,,
10,ESP,WILLIAM RICHARDSON, , , , ,795,795,,,,,,,,,,,
1,FSP,CHRIS CATHEY,945,914, , ,860,2719,,,,,,,,,,,
2,FSP,JON LEGRAND, , , ,773, ,773,,,,,,,,,,,
1,AP,GREG DUNCAN,955,961, , ,890,2806,,,,,,,,,,,
1,CP,KENNY SMITH,837,818, ,879,875,3409,,,,,,,,,,,
2,CP,BILL SCHROEDER, , ,840,916,860,2616,,,,,,,,,,,
3,CP,SEAN MARTINEZ,813,829, , , ,1642,,,,,,,,,,,
1,DP,DONALD SATTLER, , , ,960, ,960,,,,,,,,,,,
2,DP,DAVID LAHEY, , , ,954, ,954,,,,,,,,,,,
1,CM,ALAN WAGSTAFFE, , ,635,842, ,1477,,,,,,,,,,,
1,DM,JOE CURRY,886, ,882,884,874,3526,,,,,,,,,,,
2,DM,RALPH PRINCE,819, , ,797,812,2428,,,,,,,,,,,
3,DM,BRIAN CALDWELL, , , ,812, ,812,,,,,,,,,,,
1,EM,BRIAN MALM,889,851,846, ,803,3389,,,,,,,,,,,
2,EM,TOM HILL, , , ,881, ,881,,,,,,,,,,,
1,SM,GEREN SMITH,921, ,908,893,905,3627,,,,,,,,,,,
2,SM,JEREMY HAYES,858,869,860,850,859,3446,,,,,,,,,,,
3,SM,DAVE YOUNG,990, , ,983, ,1973,,,,,,,,,,,
4,SM,BRIAN PARKS,832, , , ,820,1652,,,,,,,,,,,
5,SM,BRIAN CALDWELL, , , , ,873,873,,,,,,,,,,,
6,SM,MIKE SHAPIRO, , , ,884, ,884,,,,,,,,,,,
1,SM2,HARRY BERZES,917, ,904,898,864,3583,,,,,,,,,,,
2,SM2,ENRIQUE AVILES,867,865,861,824,846,3439,,,,,,,,,,,
3,SM2,DAN MACKEAN, ,943, , , ,943,,,,,,,,N/A,,,
4,SM2,BOB FRANCIS, , , ,838, ,838,,,,,,,,N/A,,,
,,,,,,,,,,,,,,,,N/A,,,
LADIES CLASS,,,,,,,,,,,,,,,,N/A,,,
RANK,CLS,NAME,AUG,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,N/A,,,
1,CP,RONDA SMITH, ,832, ,824,802,2458,,,,,,,,N/A,,,
2,CM,SHERYL ZAVION, , ,675,795, ,1470,,,,,,,,N/A,,,
3,GS,LORI EHMAN,860, , , , ,860,,,,,,,,N/A,,,
4,ESP,DEBBI COX, ,845, , , ,845,,,,,,,,,,,
5,HS,PATRICIA ADELMAN, , , ,834, ,834,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DAILY DRIVER CLASS,,,,,,,,,,,,,,,,,,,
RANK,CLS,NAME,AUG,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,,,,
1,FS,JACK DRUMMOND,909,919,891,866, ,3585,,,,,,,,,,,
2,GS,MIKE MORZINSKI,883,897,862,865, ,3507,,,,,,,,,,,
3,ESP,TRAVIS HIGGINS,831,852,848,829, ,3360,,,,,,,,,,,
4,MUL,ADAM RIVERA,734,753, ,852,843,3182,,,,,,,,,,,
5,ESP,TROY BILSE,846, ,861,821, ,2528,,,,,,,,,,,
6,MUL,PAUL LIALIOS, ,893,897, , ,1790,,,,,,,,,,,
7,STX,CHUCK LUBIN, , , ,855,922,1777,,,,,,,,,,,
8,DS,WALTER NASH,899, ,869, , ,1768,,,,,,,,,,,
9,ESP,LARRY PETRUCCI, ,881, ,879, ,1760,,,,,,,,,,,
10,DS,JAY BALDUCCI, , ,852,853, ,1705,,,,,,,,,,,
11,GS,ART EHMAN,923, , , , ,923,,,,,,,,,,,
12,HS,MATTHEW KOGAN, , , ,918, ,918,,,,,,,,,,,
13,SM2,CHRIS KLINGER,905, , , , ,905,,,,,,,,,,,
14,GS,RYAN CALHOON,899, , , , ,899,,,,,,,,,,,
15,ES,PAMBOS TILLIROS,897, , , , ,897,,,,,,,,,,,
16,AS,JEFF WILLIAMS, , , ,893, ,893,,,,,,,,,,,
17,GS,SPENCER YARTER,891, , , , ,891,,,,,,,,,,,
18,DS,THOMAS KOENEN,876, , , , ,876,,,,,,,,,,,
19,FSP,WILLIAM SKILES, , ,856, , ,856,,,,,,,,,,,
20,CSP,JAKE BEGGY, , , , ,849,849,,,,,,,,,,,
21,CSP,GREG PUHLER, , , ,846, ,846,,,,,,,,,,,
22,HS,RISHI MOHINDRA, ,824, , , ,824,,,,,,,,,,,
23,ASP,WALTER STOSS, , , ,794, ,794,,,,,,,,,,,
24,FS,SCOT HASTINGS, , , ,793, ,793,,,,,,,,,,,
25,BS,JOHN FITCH, , , ,645, ,645,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOVICE CLASS,,,,,,,,,,,,,,,,,,,
RANK,CLS,NAME,AUG,SEP,OCT,NOV,DEC,TOTAL,,,,,,,,,,,
1,DS,MIKE QUIGLEY,889,912, ,928,934,3663,,,,,,,,,,,
2,SM,DAVID HARSAY,881,917,885,901,908,3611,,,,,,,,,,,
3,ESP,FRANK JUDNICH,852,857,868,859, ,3436,,,,,,,,,,,
4,ESP,BILLY WEBSTER, ,847,845,880,817,3389,,,,,,,,,,,
5,GS,KIM SPARLING,827,868, ,816,863,3374,,,,,,,,,,,
6,FS,KELLY LAMONT, , ,766,821,826,2413,,,,,,,,,,,
7,SM2,JOHN CALLIE, , ,807,779,791,2377,,,,,,,,,,,
8,CP,JESSE SMITH,710,769, , ,766,2245,,,,,,,,,,,
9,ES,JEREMY JONES, , , ,840,861,1701,,,,,,,,,,,
10,STX,CHUCK LUBIN, ,834,841, , ,1675,,,,,,,,,,,
11,HS,LEE MAYER, ,830, ,816, ,1646,,,,,,,,,,,
12,GS,OWEN GIBSON,815,815, , , ,1630,,,,,,,,,,,
13,ESP,TRAVIS COLTON, , , ,809,810,1619,,,,,,,,,,,
14,GS,JOHN PAINTER, ,914, , , ,914,,,,,,,,,,,
15,FSP,JAMES FRINK, , , ,907, ,907,,,,,,,,,,,
16,DS,ANDREW MCCUTCHEN, , , ,897, ,897,,,,,,,,,,,
17,DS,WADE HINDELL, ,894, , , ,894,,,,,,,,,,,
18,DS,RYAN BIRKMEYER, ,892, , , ,892,,,,,,,,,,,
19,BSP,DAVID CARTER, ,889, , , ,889,,,,,,,,,,,
20T,FS,ERIC BROWN, , ,877, , ,877,,,,,,,,,,,
20T,DS,RICK SKOWRON,826, , ,51, ,877,,,,,,,,,,,
21,SM,CONNER CULLEN, , , , ,870,870,,,,,,,,,,,
22,DSP,JEFF DEERINWATER, , ,866, , ,866,,,,,,,,,,,
23,HS,JOHN WISTHOFF, , , , ,859,859,,,,,,,,,,,
24,HS,LEE MAYER, , , , ,854,854,,,,,,,,,,,
25,ES,MATTHEW SMITH, , , , ,850,850,,,,,,,,,,,
26,CSP,CLIFF ORBACH, , ,844, , ,844,,,,,,,,,,,
27T,STX,JAMIE DUFFY, , , , ,840,840,,,,,,,,,,,
27T,CS,TOM LIALIOS,840, , , , ,840,,,,,,,,,,,
28,ES,MATTHEW SMITH, , , ,836, ,836,,,,,,,,,,,
29,DS,MATT ERBE, , , , ,825,825,,,,,,,,,,,
30,ES,KEVIN HAWLEY,831, , , , ,831,,,,,,,,,,,
31T,ES,KEVIN CUNNIFF, , , , ,822,822,,,,,,,,,,,
31T,CS,ADAM SPORLEDER,822, , , , ,822,,,,,,,,,,,
32,HS,REBECCA VOSSALLO,821, , , , ,821,,,,,,,,,,,
33T,CSP,MIKE BEGGY, , , , ,818,818,,,,,,,,,,,
33T,STS,ALEX HAIRE,818, , , , ,818,,,,,,,,,,,
34,DSP,ANTONIO DOMINGUEZ, , , ,817, ,817,,,,,,,,,,,
35,BSP,JON CARTER, ,813, , , ,813,,,,,,,,,,,
36,DS,ZACH EARHART, , , ,811, ,811,,,,,,,,,,,
37,DS,LUCAS TOMCZYK, , , , ,809,809,,,,,,,,,,,
38,ES,GREG TOY, , , ,808, ,808,,,,,,,,,,,
39,BSP,RYAN MELLER, ,783, , , ,783,,,,,,,,,,,
40,HS,DAVID KHA, , ,770, , ,770,,,,,,,,,,,
41,SM,GILBERT ALIRE, , , , ,766,766,,,,,,,,,,,
42T,CSP,ROBERTA ORBACH, , ,721, , ,721,,,,,,,,,,,
42T,ES,MANUEL RIVERA, , , , ,721,721,,,,,,,,,,,
43,FS,GARY BROWN, , ,720, , ,720,,,,,,,,,,,
44,GS,JEFF YOST, , , ,712, ,712,,,,,,,,,,,
45,GS,ROD EBELING,663, , , , ,663,,,,,,,,,,,
46,DS,ERIC SHEEHAN, , , ,639, ,639,,,,,,,,,,,
47,BSP,JIM COOK, , , ,600, ,600,,,,,,,,,,,
48,FSP,ROBERT KUESTER, , , ,592, ,592,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
