The Spring/Summer series for 2002 is a best 4 out of 6 event series.,,,,,,,,,,,,,,,,,,,
RANK ,CLASS ,NAME ,FEB ,APR am ,APR pm ,MAY ,JUNE ,JULY ,TOTAL,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OPEN CLASSES,,,,,,,,,,,,,,,,,,,
3,DSP,RON TERRIEN, , , ,918, ,900,1818,,,,,,,,,,
4,DSP,TOM MCINTYRE,911, , , , , ,911,,,,,,,,,,
5,DSP,KIM STEWART, , , , ,907, ,907,,,,,,,,,,
2,ESP,DAVID MINGUS,917,906,906,896, ,908,3637,,,,,,,,,,
3,ESP,JAMES KNIBLOE,853,847, ,852, ,840,3392,,,,,,,,,,
4,ESP,RICHARD RIPPY,945,951,932, , , ,2828,,,,,,,,,,
5,ESP,ABRAHAM JONES, , , , ,929,935,1864,,,,,,,,,,
6,ESP,ERIC ENCINAS, ,808,833, , , ,1641,,,,,,,,,,
7,ESP,CARL DECKER,874, , , , , ,874,,,,,,,,,,
8,ESP,HERB BERKMAN, ,842, , , , ,842,,,,,,,,,,
9,ESP,DAYLE GRAY, , ,802, , , ,802,,,,,,,,,,
1,FSP,CHRIS CATHEY,894,896, ,928,928,906,3658,,,,,,,,,,
2,FSP,JON LE_GRAND, , , , ,784, ,784,,,,,,,,,,
1,AP,GREG DUNCAN,946,923,936,945,942,960,3793,,,,,,,,,,
2,AP,TOM HILL,896,880,932, , , ,2708,,,,,,,,,,
3,AP,BUD ADELMAN, , , , ,795, ,795,,,,,,,,,,
1,CP,KENNY SMITH,855,852,859,878, ,920,3512,,,,,,,,,,
2,CP,BOB WALSH,870,866,876, , , ,2612,,,,,,,,,,
1,BM,ALEX MAC_GILLAVRY,793, , , , , ,793,,,,,,,,,,
1,CM,GENE SANDERS,896, , , ,896, ,1792,,,,,,,,,,
2,CM,KEN EDNEY,843, , , , , ,843,,,,,,,,,,
1,DM,JOE CURRY,883,899,913,856,879,899,3594,,,,,,,,,,
2,DM,RALPH PRINCE,823,844,835,791,826,826,3331,,,,,,,,,,
3,DM,RINK REINKING, ,820,823, ,776, ,2419,,,,,,,,,,
4,DM,MICHAEL OBERSTAR, ,773,773, , , ,1546,,,,,,,,,,
5,DM,TOM HILL, , , , ,833,796,1629,,,,,,,,,,
6,DM,KURT CRAMER, ,745, , , , ,745,,,,,,,,,,
7,DM,WOODY REMENCUS, , , , ,730,782,1512,,,,,,,,,,
1,EM,BRIAN MALM,846,859,855,860, ,850,3424,,,,,,,,,,
1,SM,DAVE YOUNG,964,974,982,1000, ,990,3946,,,,,,,,,,
2,SM,STEVE STEELE, ,921,962, , , ,1883,,,,,,,N/A,,,
3,SM,TRAVIS HIGDON,934, , , , , ,934,,,,,,,N/A,,,
4,SM,JEREMY HAYES, ,858, , , , ,858,,,,,,,N/A,,,
5,SM,SPENCER YARTER, , , , ,727, ,727,,,,,,,N/A,,,
6,SM,BRIAN PARKS, , , , , ,826,826,,,,,,,N/A,,,
7,SM,JOE DINUNZO, , , , , ,800,800,,,,,,,N/A,,,
1,SM2,HARRY BERZES,913,907,918,922, ,918,3671,,,,,,,N/A,,,
2,SM2,DAN MACKEAN,886, , ,933,933, ,2752,,,,,,,N/A,,,
3,SM2,MICHAEL ROLAND,882, , , , , ,882,,,,,,,,,,
4,SM2,ENRIQUE AVILES, , , , , ,846,846,,,,,,,,,,
5,SM2,BOB FRANCIS, , , , , ,838,838,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LADIES CLASS,,,,,,,,,,,,,,,,,,,
POS,CLS,NAME,FEB,APR,MAY1,MAY2,JUNE,JULY,TOTAL,,,,,,,,,,
1,MUL,RONDA SMITH,789,713,732,829, ,854,3204,,,,,,,,,,
2,GS,LORI EHMAN, ,848,829, , , ,1677,,,,,,,,,,
3,BS,ADINA EVANSON, ,759,785, , , ,1544,,,,,,,,,,
4,ES,SUSAN LOVE, ,866, , , , ,866,,,,,,,,,,
5,CS,ROBERTA ORBACH, , , , , ,845,845,,,,,,,,,,
6,ESP,KRISTI SACKETT, , ,772, , , ,772,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DAILY DRIVER CLASS,,,,,,,,,,,,,,,,,,,
POS,CLS,NAME,FEB,APR,MAY1,MAY2,JUNE,JULY,TOTAL,,,,,,,,,,
1,ESP,STEVE FELDE,863,829,861,839, , ,3392,,,,,,,,,,
2,DM,ADAM RIVERA,750,742,741,760,745, ,2997,,,,,,,,,,
3,ESP,DOUG EVANS, ,840,853, , ,876,2569,,,,,,,,,,
4,BS,PAUL LIALIAS, ,802, , ,828,915,2545,,,,,,,,,,
5,HS,NITIN PATEL,801,811,786, , , ,2398,,,,,,,,,,
6,BS,TAGE EVANSON, ,932,950, , , ,1882,,,,,,,,,,
7,GS,ART EHMAN, ,897,872, , , ,1769,,,,,,,,,,
8,ESP,BILL SCHROEDER, ,844, , ,895, ,1739,,,,,,,,,,
9,ESP,JEREMY HAYES,848, , , ,856, ,1704,,,,,,,,,,
10,GS,SPENCER YARTER, ,829,856, , , ,1685,,,,,,,,,,
11,BS,BILL SPARLING,828, , , , ,853,1681,,,,,,,,,,
12,ESP,KRIS WACHALA, ,814,854, , , ,1668,,,,,,,,,,
13,SM2,ENRIQUE AVILES, , , ,783,800, ,1583,,,,,,,,,,
14,DS,MARK SIAS, ,776,793, , , ,1569,,,,,,,,,,
15,FSP,ANTONIA DOMINGUEZ, ,746,810, , , ,1556,,,,,,,,,,
16,ESP,JASON WATTS,747, , , , ,774,1521,,,,,,,,,,
17,GS,MICHAEL WHITHOUSE,953, , , , , ,953,,,,,,,,,,
18,FS,JACK DRUMMOND, , , , , ,912,912,,,,,,,,,,
19,BS,ABRAHAM JONES,905, , , , , ,905,,,,,,,,,,
20,GS,HEATHER WHITEHOUSE,888, , , , , ,888,,,,,,,,,,
21,ES,CARL KOSKI, , , , , ,880,880,,,,,,,,,,
22,DS,ROBERT WOTRING, , , , ,864, ,864,,,,,,,,,,
23,ESP,ZARON WELCH, , , ,851, , ,851,,,,,,,,,,
24,BS,JIM O'HARRA,838, , , , , ,838,,,,,,,,,,
25,SM,FRANK JUDNICK, , , , , ,838,838,,,,,,,,,,
26,SS,DAVID LEE, , , , , ,833,833,,,,,,,,,,
27,ES,KEVIN HAWLEY, , , , , ,829,829,,,,,,,,,,
28,BS,TOM LIALIOS, ,800, , , , ,800,,,,,,,,,,
29,SS,MARY SPARLING,796, , , , , ,796,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
NOVICE CLASS,,,,,,,,,,,,,,,,,,,
POS,CLS,NAME,FEB,APR,MAY1,MAY2,JUNE,JULY,TOTAL,,,,,,,,,,
1,GS,MIKE MORZINSKI, ,861, ,878,867,867,3473,,,,,,,,,,
2,FS,CHRIS CARROLL,859,862,861,859,816, ,3441,,,,,,,,,,
3,DSP,JEFF MAKOWSKI, ,845,827,836,858,855,3394,,,,,,,,,,
4,MUL,RICK SKOWRON,800,815,798,863,848, ,3326,,,,,,,,,,
5,ESP,TROY BILSE, ,781, ,825,862,830,3298,,,,,,,,,,
6,ESP,TRAVIS HIGGINS, ,776, ,812,805,822,3215,,,,,,,,,,
7,MUL,JIM FLETCHER,755,792,807,806, , ,3160,,,,,,,,,,
8,CS,KATHY PRINCE, ,703,744,723,667, ,2837,,,,,,,,,,
9,MUL,ADAM SPORLEDER, ,755,713,661,697, ,2826,,,,,,,,,,
10,DSP,GERRY REYNOLDS,827,806, ,865, , ,2498,,,,,,,,,,
11,ES,JACE KELLEY,792,839,848, , , ,2479,,,,,,,,,,
12,DSP,LARRY GOWEN,808,796, , ,814, ,2418,,,,,,,,,,
13,FS,OWEN GIBSON, , , ,726,831,806,2363,,,,,,,,,,
14,CSP,JUSTIN SHOOK, ,769, , ,754,778,2301,,,,,,,,,,
15,GS,AMBER ADRAGNA, ,902,895, , , ,1797,,,,,,,,,,
16,FSP,MIKE SHAPIRO, ,868,887, , , ,1755,,,,,,,,,,
17,MUL,BRIAN KOZAN, ,879,821, , , ,1700,,,,,,,,,,
18,CS,DAVID FELIX,843,849, , , , ,1692,,,,,,,,,,
19,FM,TERRY MURRAY, ,808,782, , , ,1590,,,,,,,,,,
20,CSP,GEOFFREY PANGRAC, ,774,809, , , ,1583,,,,,,,,,,
21,GS,MIKE HARDY,772, ,799, , , ,1571,,,,,,,,,,
22,CSP,ROBERT ROSE, ,742,825, , , ,1567,,,,,,,,,,
23,BS,DAVID HEINITZ, , , , ,814,848,1662,,,,,,,,,,
24,ES,DON POSEY, , , , ,813,811,1624,,,,,,,,,,
25,DS,CHARLES GILLIAM, , , ,731,713, ,1444,,,,,,,,,,
26,EP,GREGORY BREWER, ,679,740, , , ,1419,,,,,,,,,,
27,CS,WILLIAM KOCH, , , ,899, , ,899,,,,,,,,,,
28,STS,JASON BATTS,880, , , , , ,880,,,,,,,,,,
29,SM2,BILL NEWTON,875, , , , , ,875,,,,,,,,,,
30,STS,JOE UNLEGABLE, , , , ,872, ,872,,,,,,,,,,
31,CS,STEVEN CARNICK, , , ,867, , ,867,,,,,,,,,,
32,BS,JOHN FITCH, , , ,865, , ,865,,,,,,,,,,
33,ES,ROB BITTNER,856, , , , , ,856,,,,,,,,,,
34,CS,JAY FELIX, ,853, , , , ,853,,,,,,,,,,
35,GS,SHAWN HERMANN,852, , , , , ,852,,,,,,,,,,
36,STS,PETE NOWACKI, , , , ,849, ,849,,,,,,,,,,
37,GS,FRANK JUDNICK, ,848, , , , ,848,,,,,,,,,,
38,AS,TOM LIALIOS, , , , , ,844,844,,,,,,,,,,
30,DS,MICHAEL NELSON, ,843, , , , ,843,,,,,,,,,,
40,HS,BART VAUGHN,841, , , , , ,841,,,,,,,,,,
41,ES,SAM BROWN, , , , , ,839,839,,,,,,,,,,
42,ES,JUSTIN FRANKLIN, , , , ,832, ,832,,,,,,,,,,
43,HS,RISHI MOHINDRA, ,826, , , , ,826,,,,,,,,,,
44,ASP,DANNY CREEDON,822, , , , , ,822,,,,,,,,,,
45,STS,JOE ADRAGNA, ,818, , , , ,818,,,,,,,,,,
46,FS,DAN COMPTON, , , , , ,817,817,,,,,,,,,,
47,STS,TRAVIS KOCH, , , , ,816, ,816,,,,,,,,,,
48T,CS,ANTHONY HESS, ,815, , , , ,815,,,,,,,,,,
48T,BSP,JON CARTER, , , ,815, , ,815,,,,,,,,,,
49,DSP,AARON PURSLEY, , , , , ,814,814,,,,,,,,,,
50,FS,CHRISTOPHER LA_FLUER,810, , , , , ,810,,,,,,,,,,
51,BSP,STEVE ENOS, , , ,809, , ,809,,,,,,,,,,
52,GS,TOM DONAHUE, , , , ,808, ,808,,,,,,,,,,
53,DM,MELVYN SHAW, , , ,807, , ,807,,,,,,,,,,
54,HS,NICHOLAS LAREZ, , , , ,803, ,803,,,,,,,,,,
55,ES,JAMES BURTON, , , , ,800, ,800,,,,,,,,,,
56,HS,AMANDA EDWARDS, , , , ,797, ,797,,,,,,,,,,
57,STX,JOSH FRANKHOUSER, , , , , ,796,796,,,,,,,,,,
58,GS,CHUCK LUBIN, , , , , ,795,795,,,,,,,,,,
59,EP,BRENT REDERICK, , , ,793, , ,793,,,,,,,,,,
60,HS,DANIEL COHN, , , ,790, , ,790,,,,,,,,,,
61,ESP,GARY MOORE, ,784, , , , ,784,,,,,,,,,,
62,ESP,MATT EVANS,783, , , , , ,783,,,,,,,,,,
63,GS,YSETTE HIGGINS, , , ,781, , ,781,,,,,,,,,,
64,HS,DEREK JONES,775, , , , , ,775,,,,,,,,,,
65,CP,SEAN MARTINEZ,770, , , , , ,770,,,,,,,,,,
66,GS,ADAM BRICKMAN, , , ,761, , ,761,,,,,,,,,,
67,BS,JONATHAN SHERMAN, , , ,758, , ,758,,,,,,,,,,
68,ESP,ADAM GOOLLEY, ,752, , , , ,752,,,,,,,,,,
69,ES,JENNIFER FIORETTI, , , , ,738, ,738,,,,,,,,,,
70,HS,BRYAN TURNER, , , , ,730, ,730,,,,,,,,,,
71,DS,CHUCK CUBIN, , , , ,722, ,722,,,,,,,,,,
72,BSP,JEFF B, , ,721, , , ,721,,,,,,,,,,
73,DS,SEAN RAMBARAN,689, , , , , ,689,,,,,,,,,,
74,DS,BOB HOFFMAN,688, , , , , ,688,,,,,,,,,,
75,DS,CHRIS MUNOZ,618, , , , , ,618,,,,,,,,,,
76,DS,AARON MOREHOUSE,603, , , , , ,603,,,,,,,,,,
77,DM,FERNADO BONZALEZ, ,577, , , , ,577,,,,,,,,,,
